round,club,opponent,fixture
8,TOT,CAR,79
9,TOT,WHU,89
10,TOT,MCI,99
11,TOT,WOL,110
12,TOT,CRY,114
13,TOT,CHE,127
14,TOT,ARS,131
15,TOT,SOU,150
16,TOT,LEI,157
17,TOT,BUR,168
18,TOT,EVE,175
19,TOT,BOU,189
20,TOT,WOL,199
21,TOT,CAR,203
22,TOT,MUN,219
23,TOT,FUL,223
24,TOT,WAT,240
25,TOT,NEW,249
26,TOT,LEI,258
27,TOT,BUR,263
28,TOT,CHE,276
29,TOT,ARS,287
30,TOT,SOU,300
32,TOT,LIV,318
32,TOT,CRY,307
34,TOT,HUD,339
35,TOT,MCI,347
35,TOT,BHA,328
36,TOT,WHU,359
37,TOT,BOU,362
38,TOT,EVE,379
1,WAT,BHA,9
2,WAT,BUR,12
3,WAT,CRY,29
4,WAT,TOT,39
5,WAT,MUN,49
6,WAT,FUL,56
7,WAT,ARS,61
8,WAT,BOU,80
9,WAT,WOL,90
10,WAT,HUD,100
11,WAT,NEW,108
12,WAT,SOU,120
13,WAT,LIV,128
14,WAT,LEI,136
15,WAT,MCI,146
16,WAT,EVE,156
17,WAT,CAR,169
18,WAT,WHU,179
19,WAT,CHE,190
20,WAT,NEW,200
21,WAT,BOU,202
22,WAT,CRY,215
23,WAT,BUR,229
24,WAT,TOT,240
25,WAT,BHA,241
26,WAT,EVE,259
27,WAT,CAR,264
28,WAT,LIV,277
29,WAT,LEI,288
30,WAT,MCI,298
32,WAT,MUN,319
32,WAT,FUL,329
34,WAT,ARS,340
35,WAT,HUD,346
35,WAT,SOU,308
36,WAT,WOL,360
37,WAT,CHE,364
38,WAT,WHU,380
1,WHU,LIV,5
2,WHU,BOU,20
3,WHU,ARS,21
4,WHU,WOL,40
5,WHU,EVE,43
6,WHU,CHE,60
7,WHU,MUN,69
8,WHU,BHA,71
9,WHU,TOT,89
10,WHU,LEI,95
11,WHU,BUR,109
12,WHU,HUD,115
13,WHU,MCI,129
14,WHU,NEW,139
15,WHU,CAR,147
16,WHU,CRY,160
17,WHU,FUL,163
18,WHU,WAT,179
19,WHU,SOU,188
20,WHU,BUR,192
21,WHU,BHA,209
22,WHU,ARS,220
23,WHU,BOU,222
24,WHU,WOL,236
25,WHU,LIV,250
26,WHU,CRY,252
27,WHU,FUL,270
28,WHU,MCI,278
29,WHU,NEW,289
30,WHU,CAR,292
31,WHU,HUD,309
32,WHU,EVE,320
33,WHU,CHE,322
34,WHU,MUN,337
35,WHU,LEI,349
36,WHU,TOT,359
37,WHU,SOU,369
38,WHU,WAT,380
1,WOL,EVE,10
2,WOL,LEI,17
3,WOL,MCI,30
4,WOL,WHU,40
5,WOL,BUR,50
6,WOL,MUN,59
7,WOL,SOU,70
8,WOL,CRY,73
9,WOL,WAT,90
10,WOL,BHA,91
11,WOL,TOT,110
12,WOL,ARS,111
13,WOL,HUD,130
