club,opponent,round,was_home,date
NEW,TOT,36,TRUE,2-5-2020 14:00
NOR,CHE,36,FALSE,2-5-2020 14:00
SHU,LEI,36,FALSE,2-5-2020 14:00
SOU,BHA,36,TRUE,2-5-2020 14:00
TOT,NEW,36,FALSE,2-5-2020 14:00
WAT,WHU,36,FALSE,2-5-2020 14:00
WHU,WAT,36,TRUE,2-5-2020 14:00
WOL,BUR,36,FALSE,2-5-2020 14:00
ARS,AVL,37,FALSE,9-5-2020 14:00
AVL,ARS,37,TRUE,9-5-2020 14:00
BOU,SOU,37,TRUE,9-5-2020 14:00
BHA,NEW,37,TRUE,9-5-2020 14:00
BUR,NOR,37,FALSE,9-5-2020 14:00
CHE,LIV,37,FALSE,9-5-2020 14:00
CRY,WOL,37,FALSE,9-5-2020 14:00
EVE,SHU,37,FALSE,9-5-2020 14:00
LEI,TOT,37,FALSE,9-5-2020 14:00
